param,iterations,k,accuracy,f1_score,precision,temps
voisins,3,420,0.4223069590085797,0.2686728419972128,0.6639354527421758,37.10666666666666
voisins,3,430,0.4223069590085797,0.2689189924113753,0.6641483849397762,34.583333333333336
voisins,3,440,0.42326024785510014,0.2697372552775936,0.6647686865289449,35.32
voisins,3,450,0.4223069590085797,0.26915754309343654,0.6643521912958947,36.583333333333336
voisins,3,460,0.4223069590085797,0.2689012158613938,0.6640242133345194,35.43
voisins,3,470,0.42326024785510014,0.27120317228212554,0.6644033901400309,35.513333333333335
voisins,3,480,0.4242135367016206,0.2703388113309432,0.665316070560775,33.79666666666667
voisins,3,490,0.4194470924690181,0.2673133610394416,0.6623354005384511,31.51
voisins,3,500,0.4213536701620591,0.26853846843217843,0.6636896513327133,31.61
voisins,3,510,0.4223069590085797,0.2691190375449152,0.6641070317841122,30.983333333333334
voisins,3,520,0.4213536701620591,0.26853846843217843,0.6636896513327133,34.806666666666665
voisins,3,530,0.4223069590085797,0.2692052817944751,0.6646220831880776,34.25
voisins,3,540,0.42326024785510014,0.26975952666314607,0.6649000165303021,32.839999999999996
voisins,3,550,0.4223069590085797,0.26923269600321625,0.6647667279706915,33.06666666666667
voisins,3,560,0.4213536701620591,0.2686845129865633,0.6645033424112733,31.816666666666666
voisins,3,570,0.4204003813155386,0.2679215089234881,0.664203215378771,33.18666666666667
voisins,3,580,0.4213536701620591,0.2687523750192396,0.6648277976352986,30.86
voisins,3,590,0.4204003813155386,0.2680353175047765,0.664743175076785,33.10666666666666
voisins,3,600,0.42326024785510014,0.2701168098833807,0.666593869909218,31.953333333333333
voisins,3,610,0.4204003813155386,0.2679948190430296,0.6645554790076184,32.74333333333333
voisins,3,620,0.4204003813155386,0.2680353175047765,0.664743175076785,40.54333333333333
voisins,3,630,0.4204003813155386,0.26795689560522307,0.664375567800144,36.28333333333333
voisins,3,640,0.4204003813155386,0.26795689560522307,0.664375567800144,33.62
voisins,3,650,0.4213536701620591,0.2687523750192396,0.6648277976352986,32.64666666666667
voisins,3,660,0.4223069590085797,0.2692947854510287,0.6650763234424587,35.17
voisins,3,670,0.42326024785510014,0.26998291914782413,0.6660074240312847,36.24333333333333
voisins,3,680,0.4213536701620591,0.2688824811607402,0.43175702106798547,32.526666666666664
voisins,3,690,0.4251668255481411,0.27134759797796393,0.6668589763122063,32.303333333333335
voisins,3,700,0.42326024785510014,0.27040054956044557,0.4333066404529488,33.18333333333333
voisins,3,710,0.4242135367016206,0.2705592287659701,0.666420415624099,32.660000000000004
voisins,3,720,0.4223069590085797,0.2693667937366122,0.665414291550748,31.363333333333333
voisins,3,730,0.4223069590085797,0.26944901721886777,0.6657823043421371,31.46666666666667
voisins,3,740,0.4213536701620591,0.26703782237023566,0.19886977915791637,31.383333333333336
voisins,3,750,0.4223069590085797,0.2676506136152027,0.19946131177746854,32.27333333333333
voisins,3,760,0.4213536701620591,0.26711505016151166,0.1992363801866965,33.31333333333333
voisins,3,770,0.4194470924690181,0.26541600266952736,0.1979540080484221,32.410000000000004
voisins,3,780,0.4194470924690181,0.26534850359846807,0.19759070259901904,37.263333333333335
voisins,3,790,0.4213536701620591,0.26684389817477866,0.19901126414256623,31.756666666666664
voisins,3,800,0.4213536701620591,0.26684389817477866,0.19901126414256623,30.046666666666667
voisins,3,810,0.4213536701620591,0.2668835737261807,0.19920537389513684,32.236666666666665
voisins,3,820,0.4204003813155386,0.2661548068078148,0.19918948133231937,30.58
voisins,3,830,0.4204003813155386,0.2660671845608795,0.19875983876692374,32.276666666666664
voisins,3,840,0.4213536701620591,0.26697088034602035,0.1996188462989532,35.376666666666665
voisins,3,850,0.4194470924690181,0.26516348877573875,0.1979008312348943,29.96666666666667
voisins,3,860,0.4194470924690181,0.2650673144153541,0.19734807934650922,31.936666666666667
voisins,3,870,0.4194470924690181,0.2651288832065447,0.19770847308818076,32.28333333333333
voisins,3,880,0.4194470924690181,0.2651288832065447,0.19770847308818076,29.473333333333333
voisins,3,890,0.4204003813155386,0.26602738533774795,0.19855814358181859,28.856666666666666
voisins,3,900,0.4194470924690181,0.2652830711608621,0.19852970683775303,25.983333333333334
voisins,3,910,0.4204003813155386,0.2661548068078148,0.19918948133231937,24.19333333333333
voisins,3,920,0.4194470924690181,0.26524054148132725,0.19831117026024428,25.126666666666665
voisins,3,930,0.4194470924690181,0.26524054148132725,0.19831117026024428,24.98
voisins,3,940,0.4194470924690181,0.2652830711608621,0.19852970683775303,29.333333333333332
voisins,3,950,0.4184938036224976,0.2644032413709247,0.19785904451102834,27.30666666666667
voisins,3,960,0.4194470924690181,0.26516348877573875,0.1979008312348943,23.566666666666666
voisins,3,970,0.4194470924690181,0.26520069460577705,0.19810163974296655,25.603333333333335
voisins,3,980,0.4194470924690181,0.2652830711608621,0.19852970683775303,24.44333333333333
voisins,3,990,0.4184938036224976,0.2644910259291646,0.1983227514470934,23.393333333333334
voisins,3,1000,0.4204003813155386,0.2662534114399112,0.1996560487734348,23.89


