Id,iterations,k,poids,metric,accuracy,f_score,precision,temps
70,3,550,1,0,0.42326024785510014,0.2698405247739553,0.6653328144382351,21.376666666666665
71,3,550,1,1,0.44518589132507147,0.2849928889780813,0.21000982379137842,156.03
72,3,550,1,2,0.3651096282173499,0.23420652066790482,0.6297352036029092,156.01333333333335
73,3,600,0,0,0.42326024785510014,0.2701168098833807,0.666593869909218,20.223333333333333
74,3,600,0,1,0.440419447092469,0.28169112388243067,0.20757594102467306,156.35333333333332
75,3,600,0,2,0.3593898951382269,0.22927843823499763,0.627430751234228,156.21333333333334
76,3,600,1,0,0.42326024785510014,0.2701168098833807,0.666593869909218,20.213333333333335
77,3,600,1,1,0.440419447092469,0.2817346883322265,0.20770005095293678,156.25
78,3,600,1,2,0.3565300285986654,0.22789335424347343,0.6265257930950472,155.99
79,3,650,0,0,0.4213536701620591,0.2687523750192396,0.6648277976352986,20.44
80,3,650,0,1,0.44232602478551003,0.28306211614693866,0.20861307561349862,156.80333333333334
81,3,650,0,2,0.3565300285986654,0.22565333462500847,0.5094610938050449,156.78
82,3,650,1,0,0.4213536701620591,0.2687523750192396,0.6648277976352986,21.19666666666667
83,3,650,1,1,0.44232602478551003,0.28306211614693866,0.20861307561349862,156.71
84,3,650,1,2,0.35843660629170637,0.22655081424905146,0.6265572708328384,156.45666666666668
85,3,700,0,0,0.42326024785510014,0.27040054956044557,0.4333066404529488,20.233333333333334
86,3,700,0,1,0.44137273593898946,0.28238906750220466,0.20812643176703002,156.73
87,3,700,0,2,0.36034318398474746,0.2271452379860932,0.6269057784838358,156.77333333333334
88,3,700,1,0,0.4242135367016206,0.2710683460221289,0.4341035325817287,20.436666666666667
89,3,700,1,1,0.44137273593898946,0.28236727449880816,0.20806643445675257,156.92666666666665
90,3,700,1,2,0.3622497616777884,0.22769825159211196,0.6271868924387485,160.08
91,3,750,0,0,0.4223069590085797,0.2676506136152027,0.19946131177746854,21.52
92,3,750,0,1,0.440419447092469,0.28167243285067767,0.20751979330000658,159.50333333333333
93,3,750,0,2,0.36320305052430885,0.2268404405128611,0.4726145557396108,158.92666666666665
94,3,750,1,0,0.4223069590085797,0.2676900940923556,0.1996480730638102,21.38
95,3,750,1,1,0.440419447092469,0.28165577178600293,0.20746748781762395,158.70666666666668
96,3,750,1,2,0.36320305052430885,0.22672436164931617,0.47251606449420996,158.62333333333333
97,3,800,0,0,0.4213536701620591,0.26684389817477866,0.19901126414256623,21.506666666666664
98,3,800,0,1,0.43946615824594853,0.2810955893793732,0.20714291455855793,158.93
99,3,800,0,2,0.36320305052430885,0.2269572042738783,0.4727146066516896,158.59333333333333
100,3,800,1,0,0.4213536701620591,0.2668835737261807,0.19920537389513684,21.22
101,3,800,1,1,0.440419447092469,0.28179353299914706,0.20769340530091485,158.60999999999999
102,3,800,1,2,0.3651096282173499,0.2278527183631458,0.628673174128135,158.56666666666666
103,3,850,0,0,0.4194470924690181,0.26516348877573875,0.1979008312348943,22.80333333333333
104,3,850,0,1,0.440419447092469,0.2818442868712438,0.20782633213614154,160.84333333333333
105,3,850,0,2,0.36415633937082936,0.22595390677068747,0.39559405115387375,160.98
106,3,850,1,0,0.4194470924690181,0.26516348877573875,0.1979008312348943,19.003333333333334
107,3,850,1,1,0.440419447092469,0.2818442868712438,0.20782633213614154,154.06666666666666
108,3,850,1,2,0.36415633937082936,0.22595390677068747,0.39559405115387375,154.74666666666667
109,3,900,0,0,0.4194470924690181,0.2652830711608621,0.19852970683775303,19.88
110,3,900,0,1,0.444232602478551,0.2844828983615264,0.2097779039941007,158.86333333333332
111,3,900,0,2,0.3622497616777884,0.22486840095434754,0.6278714209517852,175.76333333333332
112,3,900,1,0,0.4194470924690181,0.26524054148132725,0.19831117026024428,30.333333333333332
113,3,900,1,1,0.444232602478551,0.28445179944319965,0.20970635792699063,162.86666666666667
114,3,900,1,2,0.36415633937082936,0.2259151500871506,0.6286079783938441,173.07333333333335
115,3,950,0,0,0.4184938036224976,0.2644032413709247,0.19785904451102834,30.08
116,3,950,0,1,0.44137273593898946,0.28256498509471567,0.2082927079297006,192.83
117,3,950,0,2,0.3612964728312679,0.22304202790351813,0.16175377892394519,159.76666666666668
118,3,950,1,0,0.4184938036224976,0.26436342780304234,0.19764141495804075,23.213333333333335
119,3,950,1,1,0.44137273593898946,0.28256498509471567,0.2082927079297006,157.91
120,3,950,1,2,0.36320305052430885,0.22385267818186905,0.16228429751730508,157.41
121,3,1000,0,0,0.4204003813155386,0.2662534114399112,0.1996560487734348,22.123333333333335
122,3,1000,0,1,0.44137273593898946,0.2825938857356374,0.2083613603195135,157.16666666666666
123,3,1000,0,2,0.3651096282173499,0.22626252698364122,0.6288268837971697,156.94666666666666
124,3,1000,1,0,0.4204003813155386,0.2662534114399112,0.1996560487734348,21.596666666666668
125,3,1000,1,1,0.44137273593898946,0.28253819540174907,0.2082280560690675,157.06333333333333
126,3,1000,1,2,0.3670162059103908,0.226960494991986,0.6292787692506553,157.01666666666668
